Ppa21j3,76914.0
Ppa8j2,76400.0
Ppa15j1,72229.0
Ppa15j3,69382.0
Ppet15j1,69147.0
Ppa15j2,66847.0
Cpet0h1,66312.0
Cpa0h1,65065.0
Ppa21j2,64404.0
Ppet21j3,63913.0
Ppet8j3,63107.0
Ppet18h2,61670.0
Ppet15j3,61256.0
Ppet15j2,61046.0
Ppa8j1,60602.0
Ppa18h3,59672.0
Cpet0h2,59017.0
Ppa5j2,57822.0
Ppet24h1,57567.0
Ppet8j2,56266.0
Ppet5j3,55555.0
Ppa5j3,55460.0
Ppa5j1,55326.0
Ppet21j2,55282.0
Ppet5j2,55154.0
Ppet18h1,54782.0
Ppet21j1,54621.0
Ppet24h3,54540.0
Ppa21j1,54381.0
Ppa18h2,53230.0
Ppet5j1,52648.0
Cpa18h1,52258.0
Ppa24h1,51373.0
Ppet24h2,51047.0
Ppet8j1,50291.0
Ppet18h3,50014.0
Cpa8j3,49415.0
Ppa24h3,49267.0
Ppa18h1,48576.0
Cpa21j1,46912.0
Ppa24h2,46452.0
Cpa15j2,46065.0
Cpa8j2,44745.0
Cpa24h2,42795.0
Cpet21j1,42362.0
Cpa18h2,42017.0
Cpet5j3,41490.0
Cpa21j2,40837.0
Cpa0h2,40476.0
Cpa18h3,40325.0
Cpet21j2,40248.0
Cpa21j3,39186.0
Cpa15j1,39035.0
Cpet8j2,38620.0
Cpet15j3,38542.0
Cpet18h2,38003.0
Cpa5j1,37594.0
Cpet8j3,37562.0
Cpet15j1,36841.0
Cpet15j2,36661.0
Cpet8j1,36507.0
Cpet21j3,36335.0
Cpa24h3,35854.0
Cpa5j3,35575.0
Cpa8j1,35260.0
Cpa5j2,34435.0
Cpa15j3,33357.0
Cpet24h2,29382.0
Cpet5j2,28647.0
Cpet18h1,27343.0
Cpet5j1,26232.0
Cpa24h1,25644.0
Cpet18h3,24347.0
Cpet24h3,23591.0
Cpet24h1,22114.0
Ppa0h2,142.0
Ppa0h1,26.0
