Sample name,Sequence count
Ppa21j3,104588
Ppa8j2,101363
Cpa21j1,99798
Ppa21j2,98272
Ppet24h1,96526
Ppet24h2,93645
Cpet0h1,92324
Cpa0h1,91969
Cpet21j1,91480
Cpa24h2,90504
Ppet21j3,89977
Ppa18h3,89598
Ppet18h2,88920
Cpa8j2,88547
Ppet24h3,88496
Ppa24h1,86914
Ppet8j3,84345
Cpet21j2,84160
Cpa21j2,84009
Cpa5j1,83734
Cpet0h2,83277
Ppa24h3,82675
Ppa5j3,82477
Ppet18h1,81044
Cpa21j3,80836
Cpa18h1,80593
Ppa5j2,80043
Ppet5j2,79862
Ppa8j1,79665
Ppa18h2,79463
Cpa5j3,79427
Ppet5j3,78845
Ppet8j2,77397
Ppet21j1,77205
Cpa24h3,76305
Ppa5j1,76200
Ppet5j1,75991
Ppet21j2,75793
Cpa8j3,74202
Ppet18h3,74076
Cpet8j1,74045
Ppa21j1,73759
Ppa24h2,72955
Ppa18h1,72467
Cpet21j3,71381
Ppet8j1,70950
Cpa5j2,68992
Cpet8j2,68218
Cpet8j3,67367
Cpa8j1,66607
Cpet5j3,65490
Cpet24h2,65401
Cpa18h3,64929
Cpa18h2,62817
Cpet5j1,62117
Cpet24h3,61121
Cpa24h1,60599
Cpet18h2,57601
Cpet24h1,57300
Cpa0h2,55731
Cpet5j2,55646
Cpet18h1,55131
Cpet18h3,54484
Ppa15j2,41695
Ppet15j2,41565
Cpet15j2,41328
Cpa15j3,41265
Ppa15j1,41222
Cpa15j1,41208
Ppa15j3,41188
Cpa15j2,40949
Ppet15j3,40655
Cpet15j1,40449
Ppet15j1,39677
Cpet15j3,38437
Ppa0h1,636
Ppa0h2,428
